Gene Set Name,Common Genes,Newly Added Genes,Lost Genes,# Common,# New,# Lost,# Original
Intraventricular hemorrhage,"2157, 4774, 51816, 55788",1282,"100131801, 165918, 26047, 284058, 6678, 92935",4,1,6,10
Generalized aminoaciduria,"1497, 1716, 1962, 2108, 2109, 2110, 2184, 2628, 55768, 6514, 6569","1184, 124935, 256764, 617, 6524, 6927, 9056","120227, 137682, 1594, 55699",11,7,4,15
Neonatal alloimmune thrombocytopenia,"135228, 2811, 2812, 3673, 3674, 3690",,"100147744, 103, 10535, 11277, 134353, 25939, 64135, 79621, 84153",6,0,9,15
Adrenocortical carcinoma,"1029, 1030, 1031, 10984, 1499, 283120, 324, 3481, 3784, 4193, 4221, 5573, 7015, 7157, 84133",2316,"1026, 1027, 1028, 11200",15,1,4,19
Proximal amyotrophy,"10342, 10558, 10585, 1778, 1785, 2010, 203547, 203859, 2218, 2273, 22880, 22954, 23028, 23224, 23345, 2521, 2778, 285489, 2908, 29954, 4000, 4625, 4747, 51763, 5190, 546, 59341, 6261, 64419, 6443, 6444, 65055, 6606, 6607, 6786, 7138, 7148, 7157, 729920, 79147, 79188, 79798, 80208, 825, 8291, 8557, 9101, 9217, 92667, 9987","3073, 4744, 9896","122622, 127833, 2673, 375790, 4556, 64072, 673, 79903, 84196, 9990",50,3,10,60
Simple febrile seizure,"112476, 3786, 51322, 6323, 6326, 6328, 6334, 6529, 8131, 8831, 9681",3553,"10157, 10295, 10641, 10815, 1106, 116461, 1173, 1859, 283989, 340533, 3785, 51091, 5698, 57465, 6513, 79042, 80746",11,1,17,28
Iris hypopigmentation,"11234, 1130, 284058, 3257, 4157, 4935, 4948, 51151, 5308, 63915, 6663, 7299, 7306, 7399, 79083, 79803, 84062",,"10083, 10277, 10518, 10630, 124590, 22901, 23013, 2563, 25861, 26258, 3035, 3339, 3617, 388552, 4575, 4644, 4647, 4692, 473, 50939, 54551, 54897, 5590, 57194, 57724, 5873, 5961, 63976, 64072, 64132, 6497, 65217, 6638, 7337, 7401, 7439, 7798, 79955, 83715, 84059, 84131, 8510, 8514, 8546, 8943, 89781",17,0,46,63
Antineutrophil antibody positivity,"10095, 10312, 10318, 1493, 1499, 1773, 1776, 1991, 2113, 23308, 26191, 3113, 3115, 3123, 340061, 355, 356, 3586, 3654, 3663, 3684, 4204, 4358, 440275, 51284, 51311, 5133, 5265, 54899, 55024, 5657, 6303, 640, 6696, 6775, 6891, 7128, 7292, 7332, 79932, 81570, 83737, 843, 8625","1437, 186, 2243, 26280, 4353, 4780, 5241, 623, 83259","11277, 1380, 139818, 2213, 2215, 221895, 2672, 3500, 50619, 60468, 6728, 720, 721",44,9,13,57
Abnormal phalangeal joint morphology of the hand,"2201, 2697, 3239, 4882, 55790, 63895, 64175, 64327, 6469, 6595, 7042, 7048, 7227, 8200",4038,"10093, 10216, 10269, 10277, 10297, 10381, 10436, 10466, 10491, 10526, 10630, 10683, 10716, 10765, 10785, 1080, 11011, 11014, 11117, 11128, 11285, 112858, 113179, 114548, 1146, 117581, 118429, 121340, 124583, 126792, 1277, 1278, 1280, 1281, 1291, 1292, 1293, 1301, 1302, 1303, 1308, 134701, 1399, 145873, 147372, 165, 166929, 170689, 1723, 1834, 1836, 1855, 1857, 1947, 1954, 202018, 2067, 2068, 2073, 2074, 2146, 2200, 2202, 2218, 2239, 2245, 2254, 2260, 2261, 22880, 22930, 23013, 23102, 2316, 2317, 23184, 23187, 23219, 23327, 23443, 23483, 23512, 23522, 23529, 23594, 249, 25, 2535, 2563, 257, 258, 25914, 259232, 26092, 26123, 26191, 26229, 2719, 27238, 285489, 285590, 28952, 29895, 30008, 3094, 3339, 342035, 3425, 3508, 3586, 375056, 3799, 3835, 3861, 387733, 3897, 3914, 3955, 3977, 4000, 4015, 4041, 4054, 4087, 4088, 4148, 4261, 4313, 444, 4593, 4604, 4621, 4654, 473, 4795, 4883, 4920, 4927, 4929, 4952, 4998, 5000, 5033, 5034, 5077, 51002, 51053, 51114, 51305, 51360, 51594, 51715, 51744, 5176, 5189, 5190, 5351, 5352, 5358, 54332, 54551, 5479, 54829, 54880, 54897, 54903, 54968, 55033, 55151, 55315, 55603, 55605, 55612, 55628, 55644, 55746, 5590, 5594, 56006, 56916, 56937, 5696, 57122, 57167, 57492, 5913, 59341, 60681, 613, 6134, 6329, 633, 63976, 6399, 64093, 64127, 64131, 64132, 64324, 64359, 64412, 64840, 64841, 649, 6497, 65109, 6572, 6583, 6597, 6678, 6874, 6885, 6909, 6911, 6926, 6999, 7043, 7046, 7136, 7140, 7169, 72, 7355, 7466, 7471, 7474, 7481, 7703, 7798, 7846, 79158, 79633, 79693, 79875, 79879, 7994, 80204, 8076, 80816, 8092, 81031, 81620, 81857, 8242, 8243, 825, 8260, 8270, 8294, 8318, 83452, 84068, 84265, 84466, 8450, 84520, 84667, 84942, 8510, 8514, 8517, 871, 875, 8838, 8985, 89866, 90459, 90993, 91179, 91252, 92344, 9241, 9244, 9276, 9469, 9487, 9508, 9719, 9871, 990, 9935, 9968",14,1,282,296
Pancreatic pseudocyst,"1080, 11330, 5644, 5645, 6690",55503,,5,1,0,5
Pancreatitis,"10165, 10273, 10507, 10555, 1080, 11330, 1175, 1230, 1357, 149233, 1493, 2212, 2313, 2538, 2542, 26191, 2642, 26580, 2710, 2767, 2778, 2859, 286053, 3106, 3113, 3115, 3155, 326, 337867, 338328, 344, 3459, 348, 355, 3586, 3592, 3712, 4000, 4023, 4210, 435, 4358, 4485, 4512, 4513, 4514, 4535, 4722, 50485, 50940, 5095, 5096, 5205, 5244, 5468, 55503, 5644, 5645, 5657, 57104, 593, 63929, 64788, 6690, 6925, 7040, 7099, 72, 7840, 78987, 79577, 846, 857, 875, 9056, 90952","116519, 197131, 5654, 983","100147744, 101928376, 10320, 133686, 26007, 26160, 4538, 4540, 4541, 4558, 4564, 4567, 4572, 4574, 4575, 4578, 4594, 4854, 51752, 540, 57003, 63924, 6775, 720, 7388, 79415, 8302, 9054",76,4,28,104
Abnormality of renal excretion,"10686, 10878, 10916, 116085, 1187, 1188, 1490, 1497, 1591, 1636, 1758, 183, 185, 254428, 2591, 26191, 27031, 284086, 29927, 3075, 3078, 3123, 3426, 353, 3569, 359, 3663, 3758, 3762, 3766, 4512, 4514, 4582, 4629, 476, 4867, 5076, 5078, 5314, 54585, 54757, 54938, 554, 5972, 629, 6524, 6557, 6559, 6569, 7056, 718, 7369, 7498, 7809, 788, 83483, 84033, 846, 857, 9071, 91147, 9365","114548, 2475, 3383, 486, 50507, 8408, 9140","1235, 199221, 23175, 261734, 4179, 5087, 5167, 583, 58528, 6261, 6651, 6927",62,7,12,74
Premature loss of teeth,"10269, 1075, 10913, 11128, 1186, 1476, 1593, 1736, 1991, 23328, 249, 26277, 2672, 2697, 284654, 29887, 3691, 375056, 3861, 4000, 4853, 5073, 51604, 55131, 55612, 55697, 5587, 6197, 7012, 7015, 715, 716, 7189, 7421, 80326, 81570, 847, 860, 8600, 8792, 9896",,"1009, 10312, 10484, 10526, 11117, 126695, 1281, 128178, 165, 2072, 2200, 2201, 2202, 2355, 25, 285590, 30008, 4015, 4038, 4054, 4087, 4088, 444, 4882, 4883, 4914, 4982, 5351, 55033, 55343, 56937, 633, 6497, 6728, 7042, 7043, 7046, 7048, 79875, 8076, 81031, 8626, 875, 9842",41,0,44,85
Secondary amenorrhea,"11077, 125150, 128674, 135935, 171568, 1848, 2074, 2260, 23395, 23514, 2492, 2516, 254528, 26012, 2796, 2798, 2908, 29893, 344018, 3814, 3972, 4000, 4358, 4438, 54476, 5468, 55636, 55717, 56945, 57122, 60675, 646, 668, 6870, 7157, 81848, 84634, 8626, 8822, 8890, 8891, 8892, 9049, 9210, 9394",,"147872, 1730, 1967, 2186, 221711, 2253, 2592, 26284, 317761, 4808, 5428, 546, 55213, 5573, 5718, 57697, 57817, 64072, 673, 6866, 6907, 7086, 7486, 83550, 84196, 9060, 9101",45,0,27,72
Progressive neurologic deterioration,"10128, 10715, 11277, 1161, 123263, 1497, 154881, 1593, 2074, 220296, 23203, 23516, 2581, 26047, 26275, 26277, 2629, 2643, 26580, 2720, 285362, 2896, 3028, 3074, 3425, 3735, 378884, 410, 4204, 4669, 4700, 477, 478, 50484, 5159, 5428, 5660, 57192, 5805, 5860, 5873, 6389, 6390, 6392, 64849, 6507, 7415, 773, 7957, 8867, 8893, 9445","1201, 1234, 3064, 472, 4790, 5167, 596, 7305, 80067, 950","100151683, 125988, 129607, 1537, 18, 23221, 3172, 4568, 51300, 5155, 55699, 57462, 5832, 58494, 6326, 644096, 6513, 6575, 79903, 9213",52,10,20,72
Abnormal hemoglobin concentration,"10661, 2034, 2056, 2057, 3039, 3040, 3043, 3717, 3783, 5230, 5313, 54583, 6521, 669, 7428, 8029, 8567, 9780",,"10019, 81693",18,0,2,20
Eclabion,"10265, 10430, 10913, 112752, 1193, 121214, 128178, 129563, 138050, 1387, 155368, 1896, 1909, 2006, 2068, 2073, 2074, 2273, 2290, 22907, 2296, 23126, 23258, 23389, 23394, 25782, 284058, 2969, 30000, 3425, 3664, 374654, 3756, 3984, 4131, 4204, 4247, 4487, 5080, 5083, 51098, 51099, 546, 55624, 55691, 56006, 57167, 57192, 58508, 627, 650, 6597, 6638, 6664, 6929, 7021, 7030, 7051, 7458, 7461, 7490, 79989, 80204, 80326, 81857, 90952, 9569, 9820, 9935",,"1009, 10717, 10743, 10847, 11154, 1123, 11253, 114049, 116931, 126410, 135886, 151516, 155382, 1788, 1917, 204219, 2067, 2245, 2260, 22930, 23129, 23241, 23363, 23384, 23431, 242, 26128, 26154, 26235, 2629, 26608, 26834, 27245, 27316, 283489, 29957, 3020, 3265, 3339, 3480, 348938, 3778, 4040, 404672, 4190, 4613, 4733, 4784, 4893, 4952, 50801, 51163, 5308, 53335, 54453, 54517, 54828, 54870, 55764, 55777, 56098, 57465, 57539, 57688, 57724, 57728, 59344, 5980, 5982, 60401, 6134, 6197, 643418, 64388, 653361, 6595, 6611, 6792, 6804, 6820, 6874, 7020, 7039, 7341, 7480, 79718, 79813, 80232, 80816, 8260, 8294, 8367, 83987, 84163, 84168, 84277, 84320, 8468, 84700, 85440, 9031, 91179, 9179, 9487, 9509, 9739, 9898",69,0,107,176
Normochromic anemia,"11224, 171023, 226, 23451, 2623, 3098, 3931, 51816, 54790, 55027, 5826, 6125, 6132, 6133, 6154, 6165, 6201, 6210, 6218, 6223, 6229, 6231, 6427, 7167, 7386, 90121, 950","2531, 3043, 861","11277, 3815, 6135, 6138, 6141, 6155, 6160, 6204, 6224, 6232, 6234, 6235",27,3,12,39
Acute hepatic failure,"10068, 10320, 10507, 2153, 2184, 2859, 28976, 3033, 3106, 331, 3717, 3875, 3988, 4210, 4358, 4485, 51520, 51594, 540, 5428, 55687, 57169, 57410, 60561, 64840, 6925, 779, 83737, 85476, 9451","10457, 114548, 1277, 1278, 25820, 3958, 4023, 4321, 5005, 54209, 7099, 8883","11232, 1537, 4068, 6261, 811",30,12,5,35
Chilblains,"103, 10535, 11277, 25939, 51816, 64135, 713, 79621, 84153",5295,"100147744, 134353, 1777",9,1,3,12
Multiple renal cysts,"10806, 11020, 11231, 123016, 1282, 129880, 135886, 155368, 155382, 157657, 166379, 168667, 2006, 221037, 22954, 2317, 26160, 27241, 2812, 29880, 3984, 4041, 421, 4853, 4867, 4952, 49855, 51057, 51339, 5194, 5311, 5373, 54585, 54903, 55212, 582, 583, 585, 595, 6299, 653361, 6794, 6804, 6899, 7248, 7249, 7290, 7353, 7428, 7461, 79738, 80184, 8195, 84100, 84163, 84277, 8449, 8468, 84984, 9031, 92482, 9569, 9632","1285, 201163, 23193, 5076, 5310","114049, 1312, 132320, 2137, 26608, 2969, 324, 5589, 5982, 6239, 7458, 79053, 80173",63,5,13,76
Abnormal hallux morphology,"1277, 1387, 165, 2033, 2260, 2263, 25836, 3209, 3239, 374654, 4212, 4920, 5307, 64327, 650, 8239, 90, 9839, 9896, 9927",,"10020, 10059, 10060, 10236, 10262, 10283, 10664, 10682, 10716, 10815, 11107, 114049, 124583, 126792, 1278, 1280, 135886, 137814, 1457, 1482, 1487, 155368, 155382, 1749, 176, 1855, 1859, 1947, 1954, 2006, 207, 2077, 2186, 219844, 2239, 2254, 2261, 2273, 22827, 22856, 2313, 2316, 23314, 23394, 23522, 25923, 26005, 26040, 26160, 26229, 2626, 2627, 2629, 26353, 2643, 26608, 2697, 2702, 2703, 2737, 2770, 285362, 28952, 2969, 29920, 3315, 3549, 3590, 3615, 3756, 3764, 3782, 387, 3930, 3954, 3984, 4038, 4256, 4297, 4329, 444, 4621, 4750, 4784, 4841, 4882, 4883, 4929, 50515, 51057, 51085, 51339, 5144, 51594, 51651, 51715, 51776, 526, 53834, 54872, 54880, 55027, 5518, 55209, 55315, 55697, 5573, 55764, 55780, 56098, 5696, 56975, 57122, 57167, 57178, 5744, 5745, 57466, 57688, 579, 5831, 5927, 5932, 5982, 60, 6091, 6299, 64359, 6477, 64841, 65250, 653361, 6567, 658, 6595, 6608, 6611, 6660, 6662, 6709, 6736, 6792, 6804, 6878, 6899, 6938, 7140, 7175, 727857, 7291, 7319, 7458, 7461, 7468, 7469, 7528, 7543, 7862, 7874, 79005, 79759, 79813, 7994, 80036, 80185, 8085, 8200, 8243, 8260, 8294, 83737, 83871, 84163, 84231, 84265, 84277, 84627, 8468, 84720, 8558, 8626, 8813, 9031, 91179, 9158, 9241, 9469, 9569, 9757, 9775, 9851, 9898, 9968",20,0,193,213
Peroneal muscle atrophy,"1674, 203859, 23230, 26278, 3094, 4000, 5376, 59341, 65055, 7273, 9897",,3708,11,0,1,12
Recurrent hand flapping,"1725, 23152, 23316, 2332, 2334, 2898, 340533, 4858, 55777, 57680, 7337, 8812, 8831, 8924, 9568",,"118987, 122553, 1457, 23097, 3188, 4948, 51111, 51126, 53335, 5575, 57282, 57520, 6874, 80816, 83696",15,0,15,30
Cerebellar atrophy,"10026, 10059, 10134, 10159, 10195, 10273, 10300, 10352, 10382, 10466, 10479, 10501, 10524, 10528, 10531, 10535, 10588, 10664, 10667, 10715, 10717, 10733, 10749, 10785, 10908, 10935, 10939, 11128, 11152, 11154, 11232, 112476, 11261, 11267, 11284, 1130, 11342, 1161, 116228, 1186, 1200, 1203, 1213, 122553, 124997, 125988, 1267, 1282, 128637, 133686, 1384, 140679, 146057, 146227, 1487, 150094, 1509, 154881, 158, 1593, 16, 1600, 1660, 170302, 1717, 1727, 1736, 1742, 1786, 1861, 1938, 200205, 200403, 2055, 2058, 2068, 2071, 2074, 215, 219285, 2196, 22, 220296, 2218, 221927, 2232, 2259, 22880, 22907, 23007, 23064, 23065, 23102, 23126, 23162, 23203, 23287, 23312, 23316, 2332, 23345, 23400, 23404, 23431, 23446, 23516, 23533, 23556, 23646, 23732, 2395, 246243, 2495, 253738, 255928, 256471, 2571, 25792, 25814, 25885, 25914, 259232, 25929, 26047, 26090, 26235, 26278, 26576, 2670, 26999, 2705, 27072, 27183, 27235, 2744, 27445, 2775, 285362, 2895, 2896, 2898, 29078, 291, 2911, 2917, 29960, 3064, 3074, 3098, 3145, 3295, 339453, 343641, 347733, 347734, 3703, 3708, 372, 3736, 3746, 3748, 375, 3752, 3766, 3778, 383, 3908, 3954, 3980, 4010, 4076, 4099, 4125, 4191, 4287, 4361, 440193, 4508, 4509, 4598, 4621, 463, 4694, 4702, 4719, 4724, 4761, 477, 478, 4884, 492, 4976, 498, 50, 50484, 51010, 51075, 51079, 51091, 51102, 51117, 51227, 513, 51324, 51399, 51569, 51601, 51604, 51651, 51728, 5173, 51741, 51761, 5190, 5192, 5277, 53335, 535, 5354, 5373, 5393, 5422, 5428, 54476, 54676, 547, 54828, 54834, 54840, 54872, 54902, 55129, 55157, 55164, 55187, 5521, 55210, 55275, 55280, 55572, 55610, 55621, 55644, 55690, 55703, 55704, 55768, 55775, 5582, 55823, 56052, 5611, 5621, 5649, 56652, 56915, 56947, 56997, 57017, 57038, 57192, 57231, 57410, 57465, 57466, 57505, 57511, 57680, 57704, 5828, 58497, 5859, 5934, 5981, 60481, 60684, 6095, 617, 63035, 6309, 6310, 6311, 6314, 6315, 6323, 6324, 6326, 6334, 6389, 63925, 64116, 64135, 64207, 64374, 64802, 64849, 64858, 6507, 65260, 6548, 65993, 6647, 6687, 6709, 6712, 6785, 6792, 6812, 686, 6872, 6874, 6897, 6904, 6905, 6908, 7084, 7222, 7274, 729920, 7343, 7345, 7355, 7407, 7436, 7545, 7546, 773, 79147, 7915, 79152, 79587, 79628, 79644, 7965, 79693, 79731, 79736, 79751, 79796, 79876, 79944, 80207, 8021, 80210, 80746, 80856, 8120, 81570, 816, 81790, 819, 823, 8270, 833, 83548, 83636, 8398, 84274, 84320, 84340, 84342, 8450, 84504, 84520, 84947, 85021, 8506, 85300, 8560, 8573, 87178, 8722, 8733, 8813, 8878, 8882, 8884, 8913, 8925, 90522, 90624, 9091, 91137, 9179, 91949, 9197, 9254, 9256, 92667, 9326, 9361, 93627, 9373, 9382, 9409, 9442, 95, 950, 9512, 9533, 9711, 9895, 9997","3737, 4067, 6535, 79934, 84107","10073, 100996717, 10585, 10815, 128869, 1317, 1327, 136647, 150468, 1528, 18, 197258, 201595, 203068, 2257, 23111, 23114, 25828, 267010, 2799, 2891, 2902, 2961, 339855, 3475, 400569, 404672, 4311, 4704, 4838, 5111, 514, 51412, 523, 5297, 54820, 54936, 54973, 55699, 57178, 6573, 6621, 6659, 7156, 724066, 7515, 7518, 7737, 80781, 81603, 83475, 84188, 84833, 84942, 91647, 92935, 94005, 9759, 998",403,5,59,462
Reduced progressive sperm motility,"10233, 10566, 140801, 144132, 1538, 196385, 221481, 25790, 26074, 56171, 57639, 64518, 65975, 7802, 80173, 81833, 83844, 92749","1240, 146845, 285335, 286234, 286464, 3371, 3773, 5141, 54768, 8852","286151, 54014, 57728, 6756, 881",18,10,5,23
Abnormality on pulmonary function testing,"100288687, 10073, 10133, 10144, 10324, 10568, 10755, 1080, 1084, 10891, 11254, 1134, 1140, 1144, 1145, 114548, 115019, 1280, 1292, 1305, 1314, 137682, 1438, 1439, 145873, 146862, 1493, 152110, 1610, 1639, 165918, 1736, 1756, 1770, 1776, 1789, 1832, 1909, 2022, 2066, 207, 21, 2193, 2212, 221264, 2261, 23025, 2317, 23250, 23299, 23345, 23347, 23435, 246329, 2483, 2521, 2588, 25913, 25978, 26191, 26277, 2729, 283, 285489, 29110, 2947, 29967, 29978, 3055, 3077, 3106, 3113, 3115, 3123, 3162, 3178, 3257, 345643, 368, 3714, 374393, 375790, 3783, 400916, 4038, 411, 4282, 440275, 4593, 4680, 4703, 4744, 4771, 4921, 5073, 5155, 51684, 51750, 51776, 5216, 5265, 5290, 5351, 54209, 54332, 5444, 5445, 5446, 55384, 56244, 5630, 5657, 56983, 57190, 58, 5913, 60684, 6117, 6311, 6337, 6338, 63895, 64131, 64132, 6440, 6445, 653509, 6550, 6556, 6598, 6605, 6608, 6609, 6647, 6804, 7012, 7015, 7040, 7080, 7138, 7169, 7170, 7248, 7249, 7273, 727897, 729238, 729920, 7415, 755, 79147, 79912, 80324, 8106, 8148, 81846, 8314, 83737, 84665, 84667, 8701, 8788, 8878, 89781, 89874, 899, 91039, 9217, 9325, 9453, 9499, 9531, 9896","10392, 1277, 2006, 23495, 29851, 359948, 4153, 4790, 4791, 5473, 8742, 930, 931, 975","100151683, 100996717, 101060691, 10320, 122622, 126792, 127833, 139818, 1861, 2200, 22802, 22947, 26092, 27148, 2720, 2733, 283446, 311, 353116, 388015, 390594, 4054, 4567, 4568, 4570, 4574, 4625, 4750, 51164, 54, 55830, 57728, 5825, 6329, 6340, 7125, 7840, 79158, 79991, 8260, 84231, 84466, 88, 9719, 9782, 9990",173,14,46,219
Hypouricemia,"116085, 1962, 3172, 4337, 4338, 4860, 55034, 56606, 6514, 7498",,"10243, 137682, 1497, 2628, 540, 5631, 6569",10,0,7,17
Submucous cleft palate,"100151683, 1009, 10220, 10269, 10524, 10526, 10585, 10735, 11128, 1280, 1282, 139285, 148789, 1605, 1718, 219844, 2218, 23347, 23522, 246329, 26123, 27245, 29954, 3373, 374654, 3845, 3981, 4000, 4089, 4750, 4841, 51053, 54487, 54880, 54888, 55553, 55624, 5575, 57822, 6228, 63895, 6477, 6496, 6651, 6899, 729920, 7314, 8214, 8220, 84197, 8443, 8452, 84892, 8626, 9215, 93986, 9653, 9949, 9993",,"10329, 11041, 1499, 23498, 23594, 29998, 344167, 4998, 5000, 51305, 51729, 5528, 5604, 5605, 57479, 57688, 5885, 6418, 6662, 673, 79147, 81620, 8318, 833, 9791, 9839, 990",59,0,27,86
Peripheral visual field loss,"10002, 100151683, 10210, 10461, 10594, 1121, 123016, 1258, 1259, 130557, 138050, 1406, 145226, 1545, 157657, 167691, 196, 2202, 23020, 23418, 23568, 24, 24148, 25794, 26121, 26160, 2979, 3000, 346007, 3614, 3617, 375298, 388939, 403, 4117, 4653, 4751, 4901, 49855, 50484, 50939, 5145, 5148, 5158, 5456, 54806, 55624, 55812, 55857, 55975, 57545, 582, 583, 5949, 5959, 5961, 5995, 6010, 6017, 60509, 6094, 6100, 6101, 6102, 6103, 6121, 6295, 6389, 64218, 6533, 7275, 7287, 7399, 7401, 7439, 768206, 79628, 79797, 79947, 8100, 84100, 84140, 8481, 8842, 9128, 9129, 92211, 9227, 92840, 94137, 9742, 9785","3423, 84059","10283, 112752, 1737, 23370, 3419, 3420, 51259, 57670, 57709, 762, 79140, 79934",92,2,12,104
Vasculitis,"10095, 101928376, 11277, 1230, 149233, 1493, 1776, 26191, 29110, 3055, 331, 337867, 3426, 3459, 355, 356, 3586, 3592, 3593, 3594, 4067, 4068, 4210, 4598, 4615, 51744, 51752, 51816, 54, 6335, 64127, 6583, 6775, 6850, 6945, 7099, 713, 7132, 720, 7454, 7456, 81704, 843, 9051",368,"10621, 11280, 114548, 3106, 3113, 3115, 3123, 4261, 4795, 4860, 5238, 5657, 5777, 6336, 64135, 8302, 8974, 90268",44,1,18,62
Impaired myocardial contractility,"10008, 100134444, 10060, 1832, 2556, 3728, 57538, 6329, 779, 8048","10272, 23411, 26291, 3276, 3667, 5054, 5295, 6262, 6910, 7140, 783, 8660, 9474",,10,13,0,10
Myocarditis,"1230, 27068, 2879, 3459, 355, 3586, 3592, 3662, 4210, 51752, 595, 6775, 7099, 7428, 81031",6772,"101928376, 149233, 3106, 337867, 720, 801, 8302",15,1,7,22
Ulnar deviation of finger,"1281, 1836, 2200, 259232, 3265, 3977, 4604, 4621, 5077, 658, 6910, 7042, 7043, 7048, 7136, 7140, 8200, 9382",,"101929726, 10225, 10526, 11117, 1146, 1399, 165, 1717, 2201, 2202, 22930, 23483, 25, 25782, 29123, 30008, 3209, 3239, 389827, 4015, 4054, 4087, 4088, 444, 4882, 4883, 50945, 51339, 51651, 5351, 55033, 5594, 56937, 613, 6299, 633, 6473, 6497, 650, 7046, 7169, 7476, 79875, 8076, 81031, 84231, 875",18,0,47,65
Enlarged interphalangeal joints,"1280, 8838",,"3239, 4148, 7994, 83452",2,0,4,6
Reactive hypoglycemia,"229, 4221, 5122, 6927, 7351, 7528","207, 3643, 5256, 7224",2746,6,4,1,7
Decreased urine output,"10878, 116085, 1490, 1636, 183, 185, 23175, 3075, 3078, 3123, 3426, 353, 3663, 4179, 4512, 4514, 5076, 5314, 5972, 6261, 629, 7056, 718, 84033, 857","23410, 3576, 359, 4088, 7124","1235, 199221, 4629, 5087, 788",25,5,5,30
Transposition of the great arteries,"118856, 123872, 137814, 139212, 1482, 161582, 1767, 1770, 1954, 2218, 2302, 23129, 23389, 23639, 25981, 2626, 2627, 2657, 27019, 352909, 4087, 4838, 54768, 54919, 55036, 55172, 55997, 64446, 650, 6899, 7490, 7547, 8481, 85452, 8701, 92749, 93, 9487","10765, 140733, 168507, 203068, 22911, 23026, 259232, 3280, 4487, 51322, 51621, 55788, 57057, 57492, 6910, 7473, 78987, 8632, 9570, 9638","100128908, 10269, 10309, 115399, 115948, 152110, 164781, 200373, 2187, 220136, 221421, 2239, 246176, 2622, 26227, 2702, 2703, 27148, 2719, 2783, 339829, 345643, 345895, 374407, 388389, 4000, 490, 51314, 51364, 51715, 54870, 54970, 55130, 56006, 56683, 58499, 6103, 6674, 79925, 83538, 83544, 8382, 83861, 85016, 85478, 89765, 93233",38,20,47,85
Rib segmentation abnormalities,"10683, 6911, 84667",,"10815, 134701, 145873, 1487, 3954, 3955, 53834, 54872, 7468, 7469",3,0,10,13
Interosseus muscle atrophy,"26092, 2617, 26580, 65055, 8884",,,5,0,0,5
Discoid lupus rash,"10318, 11277, 1380, 1493, 1535, 1773, 2113, 2213, 2215, 23592, 26191, 3123, 3654, 3684, 51284, 5133, 54899, 55024, 6303, 640, 6775, 7128, 714, 720, 721, 7292, 7332","10964, 1234, 23286, 3075, 3454, 3627, 3665, 3716, 54106, 6772, 6850, 91543, 9636","139818, 1536, 221895, 3500, 3586, 3663, 4204, 4688, 653361, 6696, 713, 79932",27,13,12,39
Abnormal intrahepatic bile duct morphology,"182, 26276, 51473, 5314, 84936, 9076",4534,"199221, 23322, 23534, 26123, 3592, 3594, 3663, 4000, 5189, 5195, 5450, 55788, 56623, 57545, 57728, 5828, 5830, 63894, 6689, 6718, 79258, 79989, 91147, 9371, 9966, 9968",6,1,26,32
Lower limb hyperreflexia,"10060, 10280, 10613, 10749, 10908, 10943, 11277, 11338, 113612, 123606, 200205, 22943, 23204, 23345, 23400, 2512, 253738, 26278, 2643, 267, 2705, 2752, 285362, 3074, 3475, 348, 3615, 3798, 3839, 3930, 4204, 4841, 4929, 5010, 51062, 51117, 51308, 5238, 5361, 547, 54903, 55149, 5663, 57156, 5917, 6389, 6392, 65055, 6687, 6709, 7143, 7345, 7415, 7436, 80208, 823, 8242, 85465, 8622, 8813, 8869, 91574, 9197, 9215, 9711, 9897","1822, 2259, 383, 5879, 6253","10667, 10939, 1327, 1737, 23503, 3035, 339855, 4556, 4948, 51271, 51506, 55129, 55823, 57128, 5832, 6390, 644096, 6872, 7054, 7337, 7701, 8295, 84842, 9101, 9256",66,5,25,91
